,title,subtitle,link
0,WAGES WAR,Mason Greenwood told to consider suing Man Utd by his reps after Mendy court win,https://www.thesun.co.uk/sport/31600896/man-utd-mason-greenwood-benjamin-mendy/
1,SHEAR BLISS,Shearer's daughter Hollie shows off diamond ring after engagement to rugby star,https://www.thesun.co.uk/sport/31607721/alan-shearer-daugher-hollie-engaged-joe-marchant/
2,KEEPING COLE,Cole Palmer gives 'Game Ready' injury update ahead of Chelsea clash vs Arsenal,https://www.thesun.co.uk/sport/31608277/cole-palmer-injury-update-chelsea-arsenal/
3,JOSE DREAM,Mourinho 'identifies shock Prem manager's job he is ready to take straight away',https://www.thesun.co.uk/sport/31602528/jose-mourinho-premier-league-return-newcastle-fenerbahce/
4,TUCH-Y SUBJECT,Tuchel warned of challenge he faces as England boss after Guardiola rant,https://www.thesun.co.uk/sport/31605739/thomas-tuchel-pep-guardiola-england-man-city/
5,PUSHING IT,Ex-EFL boss grabs his own player and furiously shoves him after red card,https://www.thesun.co.uk/sport/31605920/pep-clotet-triestina-oxford-birmingham/
6,KARREN BRADY,Real Madrid were silly to snub Ballon d'Or but right to support Vinicius Jr,https://www.thesun.co.uk/sport/31601393/karren-brady-ballon-dor-real-madrid-vinicius-jr/
7,NO WAN ELSE,Wan-Bissaka breaks silence on 'difficult' Man Utd spell after £50m move,https://www.thesun.co.uk/sport/31607252/wan-bissaka-man-utd-lonely-exit-west-ham/
8,TALENT POOLS,"Ex-Premier League boss, 76, returns almost 20 years after last permanent job",https://www.thesun.co.uk/sport/31602264/lennie-lawrence-hartlepool-manager-national-league/
9,RED RAGE,New Man Utd boss Amorim set to be without banned coach for first 2 Prem games,https://www.thesun.co.uk/sport/31599324/darren-fletcher-banned-why-fa-amorim-man-utd/
10,BUMPER,Brighton vs Man City: Get £50 in free bets for Premier League clash with Betfred,https://www.thesun.co.uk/sport/31547257/brighton-vs-man-city-betfred-free-bets-offer-bonus/
11,BONUS,Liverpool vs Aston Villa: Get up to £40 in free bets to spend with talkSPORT BET,https://www.thesun.co.uk/sport/31547873/liverpool-aston-villa-talksport-bet-free-bets-bonus-offer/
12,TOP FORTY,Man Utd vs Leicester: Get £40 in free bets and bonuses to spend with BetMGM,https://www.thesun.co.uk/sport/31548182/man-utd-vs-leicester-betmgm-free-bets-bonus-offer/
13,DIAL HIM IN,Which Man Utd star showed he deserves to be a regular starter?,
14,GEOR DROPPING,Have Chelsea discovered their next major talent after thumping victory?,
15,TROY DEENEY,"Kids should be told 'you don't have to be Haaland, you can be Wood'",https://www.thesun.co.uk/sport/31602891/troy-deeney-chris-wood-erling-haaland-nottingham-forest/
16,JUST DESSERTS,Palmer enjoys lemon sponge & custard before testing injury ahead of Arsenal,https://www.thesun.co.uk/sport/31593002/cole-palmer-lemon-sponge-chelsea-arsenal/
17,DIALL TONE,Man Utd star Amad to be handed triple-your-money new deal with contract expiring,https://www.thesun.co.uk/sport/31584691/man-utd-amad-diallo-new-contract-offer-triple-wages/
18,BELLS & NISTELS,Van Nistelrooy makes Man Utd change that caught out Ten Hag before axe,https://www.thesun.co.uk/sport/31592956/man-utd-ruud-van-nistelrooy-change-erik-ten-hag/
19,PREMIER LEE,Carsley tipped to land shock Prem job once Tuchel takes over as England boss,https://www.thesun.co.uk/sport/31607233/lee-carsley-england-next-job-premier-league/
20,WETIHAD,Awkward moment Sky Sports pundits drenched and forced to run for cover,https://www.thesun.co.uk/sport/31604557/wsl-sky-sports-pundits-drenched-man-city-christiansen-houghton/
21,NOT DAV-ING IT,David Moyes slams Man Utd flops for hiding behind Ten Hag,https://www.thesun.co.uk/sport/31583087/david-moyes-slams-man-utd-players/
22,PEP TALKS,Brazil 'making major play to bring in Pep Guardiola as next manager',https://www.thesun.co.uk/sport/31591952/brazil-pep-guardiola-next-manager-man-city/
23,SHIR THING,PAOK star asks Paul Scholes to sign his shirt live on TV after defeat to Man Utd,https://www.thesun.co.uk/sport/31584543/paok-paul-scholes-man-utd-europa-league-ozdoev/
24,SPIN KING,MrQ casino: Claim 5 free spins PLUS 30 more free spins on your first deposit,https://www.thesun.co.uk/betting/31308730/mr-q-casino-free-spins/
25,'EXCITING FUTURE',New stadium & indoor arena planned next to EFL club in huge redevelopment,https://www.thesun.co.uk/sport/31599958/bristol-city-flyers-ashton-gate-new-stadium-basketball/
26,FIVE ALIVE,Fifth place set to get Champions League football as England lead Uefa table,https://www.thesun.co.uk/sport/31586757/fifth-place-premier-league-champions-league-england-uefa/
27,RINGS A BELL,Bellingham's brother Jobe just one step from joining him in England team,https://www.thesun.co.uk/sport/31595262/jude-bellingham-jobe-england-sunderland-real-madrid/
28,OUT OF TUCH,Incoming England boss Tuchel hasn't said a word to Carsley except one text,https://www.thesun.co.uk/sport/31584897/lee-carsley-england-thomas-tuchel-greece-ireland/
29,LIFE SAVER,League One star reveals he stopped a stranger from ending his life,https://www.thesun.co.uk/sport/31598080/league-one-james-brophy-cambridge-stopped-stranger-ending-life/
30,WELCOME,talkSPORT BET bonus: Sign up and get up to £40 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
31,TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
32,MEGA MGM,Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/
33,ED HUNTERS,Arsenal 'target ex-players to replace Edu' and one is already in the building,https://www.thesun.co.uk/sport/31592408/arsenal-target-former-stars-replace-edu-mertesacker-rosicky/
34,RUUD FOR THOUGHT,Ruud van Nistelrooy still hasn't been told if he's staying at Man Utd,https://www.thesun.co.uk/sport/31583336/ruud-van-nistelrooy-man-utd-future/
35,PEP IN THEIR STEP,Inside the world of Pep's disciples as Maresca and Arteta go head to head,https://www.thesun.co.uk/sport/31604440/pep-guardiola-maresca-arteta-chelsea-arsenal/
36,EUR ON,Supercomputer predicts Champions League with two English sides meeting in final,https://www.thesun.co.uk/sport/31563118/supercomputer-champions-league-arsenal-liverpool-english-final/
37,REAL CASH,"Enter for a chance to win £2,000 in cash with The Sun Play in November",https://www.thesun.co.uk/sport/31376001/the-sun-play-prize-november-real-cash-giveaway/
38,ALL GREEK,Kostas Tsimikas emerges as bargain route into Liverpool's points-laden defence,https://www.thesun.co.uk/sport/football/dream-team/31546519/kostas-tsimikas-liverpool-fantasy-football-defender-form-points/
39,TIMING,Bruno Fernandes Dream Team's most in-form player ahead of Ruben Amorim's arrival,https://www.thesun.co.uk/sport/football/dream-team/31488640/bruno-fernandes-ruben-amorim-manchester-united-fantasy-form/
40,QUIDS IN,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/
41,BABY STEPS,Laura Woods shows off blossoming baby bump as she gears up for motherhood,https://www.thesun.co.uk/sport/31579802/laura-woods-baby-bump-adam-collard/
42,HOSPITAL DASH,Alvaro Morata rushed to hospital after ex-Chelsea star suffers horror injury,https://www.thesun.co.uk/sport/31580220/alvaro-morata-hospital-head-injury-training-ac-milan-news/
43,CHICO TIME,"I learned as much from Warnock as I did Pep, now I'm making my way as a manager",https://www.thesun.co.uk/sport/31595886/narcis-pelach-pep-guardiola-neil-warnock-stoke/
44,'THE WORLD HAS STOPPED',Liverpool icon Ziege shares heartbreaking statement after wife dies,https://www.thesun.co.uk/sport/31590716/christian-ziege-shares-heartbreaking-statement-wife-dies/
45,TOP DEALS,The best 10 online casino sites for welcome offers and free spins,https://www.thesun.co.uk/betting/30333826/top-10-casino-sites-free-spins-deposit-bonus/
46,DOUBLE DEAL,Mr Vegas bonus: Get 100% up to £200 on your first deposit PLUS 11 free spins,https://www.thesun.co.uk/betting/31316567/mr-vegas-welcome-bonus-offer-free-spins-deposit/
47,CROWN DUELZ,Duelz Casino: Sign up for a £100 bonus and 100 free spins this November,https://www.thesun.co.uk/betting/31309930/duelz-casino-sign-up-bonus-free-spins/
48,TOP £10,The best online casinos for free spins and bonuses from £10 deposits,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/
49,VIK OF THE BUNCH,Chelsea & Arsenal set to join Man Utd in Viktor Gyokeres transfer battle,https://www.thesun.co.uk/sport/31562891/viktor-gyokeres-transfer-man-utd-arsenal-chelsea/
50,BAY WATCH,Man Utd and Arsenal battling it out for Leroy Sane on free transfer,https://www.thesun.co.uk/sport/31558739/leroy-sane-man-utd-arsenal-transfer-bayern-munich/
51,RON THE MOVE?,Ronaldo tipped to join rival in shock transfer to replace £130m-a-year flop,https://www.thesun.co.uk/sport/31564528/cristiano-ronaldo-replace-neymar-al-hilal/
52,AL OUT ATTACK,Desperate Real to launch Trent bid in January with star's Kop deal nearly up,https://www.thesun.co.uk/sport/31558721/trent-alexander-arnold-transfer-madrid-liverpool/
53,STAFF GLOOM,Newcastle star Sean Longstaff hints at Newcastle exit amid contract confusion,https://www.thesun.co.uk/sport/31556670/sean-longstaff-newcastle-transfer-contract-eddie-howe/
54,OFF THE BEATEN TRAC,Prem's weirdest partnerships from vodka to Utd's official tractor deal,https://www.thesun.co.uk/sport/31589821/premier-league-partnerships-vodka-cereal-man-utd-tractor/
55,FOOTIE PROBE,FA launches investigation into Premier League boss over child sex abuse case,https://www.thesun.co.uk/sport/31579678/fa-investigation-premier-league-boss-historical-child-sex-abuse/
56,ED-ING OFF,Mikel Arteta gives update on Arsenal's future plans after Edu's shock exit,https://www.thesun.co.uk/sport/31530483/mikel-arteta-gives-edu-update-arsenal/
57,NEW START,"Premier League title winner, 31, drops down to seventh tier of English football",https://www.thesun.co.uk/sport/31584490/liam-moore-leicester-reading-spalding-united-seventh-tier-transfer/
58,KUD HAVE DONE WITHOUT,Kudus hit with further ban after West Ham star's moment of madness,https://www.thesun.co.uk/sport/31550562/mohammed-kudus-handed-ban-west-ham-fine/
59,TROY DEENEY,There is NO Arsenal agenda - reds have been stupid and petulant… it's worrying,https://www.thesun.co.uk/sport/31319906/troy-deeney-arsenal-red-cards-no-conspiracy/
60,ANDY DILLON,Slot has only done the easy part at Liverpool - Emery and Moyes are a warning,https://www.thesun.co.uk/sport/31581650/arne-slot-easy-liverpool-emery-moyes-warning-dillon-column/
61,WHISTLEBLOWER,Something SERIOUSLY wrong with refereeing after Martinez not sent off,https://www.thesun.co.uk/sport/31493833/man-utd-chelsea-halsey-refereeing-martinez-palmer/
